"SubjectID","ParticipantAge","ParticipantGender","Nationality","FirstLanguage","LearningEnglish","LearningDutch","DutchSchool","EnglishSchool","SpokenDutch","WrittenDutch","DutchReading","SpokenEnglish","WrittenEnglish","EnglishReading","Current%Dutch","Current%English","Childhood%Dutch","Childhood%English","OtherLanguageKnowledge","OtherLanguages","SpeakingOtherLang","ReadingOtherLang","WritingOtherLang","EnglishLexTale","DutchLexTale"
3328335,"40","Female","Belgian","Dutch","14","0","8","6",7,6,7,6,6,7,40,10,40,0,"Yes","French, Spanish, German, Italian",7,7,7,90,87.5
3326673,"20","Female","Belgian","Dutch","12","From the very beginning","18.5","8",6,5,6,6,5,6,100,70,100,50,"Yes","Spanish",3,3,4,78.75,85
3262187,"26","Female","Belgian","Dutch","10 years old","Mother tongue","12","5",7,7,7,7,7,7,40,60,99,1,"Yes","Spanish, Portuguese, French",6,7,6,97.5,91.25
3252245,"21","Female","Belgian","Dutch","7","0","12","5",7,7,7,7,7,7,70,25,85,15,"Yes","French, Spanish, German",5,7,5,72.5,88.75
3244720,"19","Male","Belgian","Dutch","12","Since birth","12","6",6,6,6,6,6,5,80,20,100,0,"Yes","French, German, Spanish",5,4,4,76.25,95
3244171,"33","Female","Latvian/ Dutch","English","15","22","0","3",7,7,7,5,5,6,60,40,0,0,"Yes","Latvian",7,7,7,51.25,65
3236858,"25","Female","Belgian",NA,"15","10","8","4",6,6,6,6,7,7,49,51,10,10,"No",NA,NA,NA,NA,88.75,67.5
3236445,"21","Female","Belgian","Dutch","Around 8","Birth","12","6",7,5,7,6,6,6,20,40,80,5,"Yes","French and German",6,6,5,81.25,75
3417125,"20","Female","Belgium","Dutch","12 years old","3 years old","17 years","6 years",6,5,7,4,3,6,90,70,95,25,"Yes","French",7,7,7,61.25,82.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
