contrast,ratio,SE,df,null,z.ratio,p.value,rep,beta_0,beta_s,beta_l,beta_t,beta_sl,beta_st,beta_lt,beta_slt,sigma
(switch / repetition incongruent) / (switch / repetition neutral),0.9983835982254170,0.010988698241407300,Inf,1,-0.14697780003657100,0.8831495430070780,309,6.945,0.0875,-0.0171,0.041,0.0101,0,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0095303032162100,0.012914675190985500,Inf,1,0.7414489973786930,0.4584212452904580,309,6.945,0.0875,-0.0171,0.041,0.0101,0.001,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),0.9947701690687030,0.012050121362405000,Inf,1,-0.4328696206289080,0.6651094913069760,309,6.945,0.0875,-0.0171,0.041,0.0101,0.002,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0054931352392000,0.010662731859115500,Inf,1,0.5165838388808560,0.6054466996746250,309,6.945,0.0875,-0.0171,0.041,0.0101,0.003,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0087564756074500,0.012250370662393700,Inf,1,0.7179131446717080,0.4728108424856480,309,6.945,0.0875,-0.0171,0.041,0.0101,0.004,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0440209347009600,0.011802009925947400,Inf,1,3.8108715064042800,1.38477735637124E-04,309,6.945,0.0875,-0.0171,0.041,0.0101,0.005,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0313290278449200,0.011857784124253800,Inf,1,2.6830253745133500,0.007295945440139050,309,6.945,0.0875,-0.0171,0.041,0.0101,0.006,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0244993732164800,0.012401181854521700,Inf,1,1.9995724525579000,0.0455464510385902,309,6.945,0.0875,-0.0171,0.041,0.0101,0.007,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0228935647934200,0.012627373044129500,Inf,1,1.83360744450699,0.06671228636435270,309,6.945,0.0875,-0.0171,0.041,0.0101,0.008,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.027028604213330,0.011946126356194700,Inf,1,2.2928461451368300,0.021856864275006500,309,6.945,0.0875,-0.0171,0.041,0.0101,0.009000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.032768849226010,0.012871103949211000,Inf,1,2.587188932445190,0.009676251991157850,309,6.945,0.0875,-0.0171,0.041,0.0101,0.01,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0366119409576300,0.01306123680577270,Inf,1,2.853797525092250,0.0043200054835740600,309,6.945,0.0875,-0.0171,0.041,0.0101,0.011,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0358914562054700,0.013032099323605000,Inf,1,2.8029240045097100,0.005064160069615010,309,6.945,0.0875,-0.0171,0.041,0.0101,0.012,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0700426118703200,0.010856624865703200,Inf,1,6.672446597669340,2.51573608273609E-11,309,6.945,0.0875,-0.0171,0.041,0.0101,0.013000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0768397152593900,0.011404245501769300,Inf,1,6.990295779136610,2.74307318262026E-12,309,6.945,0.0875,-0.0171,0.041,0.0101,0.014,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0391042122875200,0.01144772852478000,Inf,1,3.4818266649936400,4.98005942920225E-04,309,6.945,0.0875,-0.0171,0.041,0.0101,0.015,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),0.9991713286591510,0.011165929270243400,Inf,1,-0.07418351646564910,0.9408643616631160,310,6.945,0.0875,-0.0171,0.041,0.0101,0,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0206719573826700,0.012112082068342600,Inf,1,1.7242423653158800,0.08466409901313730,310,6.945,0.0875,-0.0171,0.041,0.0101,0.001,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.013556446980050,0.013658323802509700,Inf,1,0.999238513363636,0.3176791631187290,310,6.945,0.0875,-0.0171,0.041,0.0101,0.002,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),0.9982400112904430,0.01037148376453480,Inf,1,-0.16954555972300600,0.8653675395588540,310,6.945,0.0875,-0.0171,0.041,0.0101,0.003,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0189546474380500,0.01222189847403970,Inf,1,1.5654820275544000,0.11746992824666700,310,6.945,0.0875,-0.0171,0.041,0.0101,0.004,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0110138568210500,0.011853762757942200,Inf,1,0.934242410085087,0.3501788636715120,310,6.945,0.0875,-0.0171,0.041,0.0101,0.005,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0295882220184500,0.010568857724931900,Inf,1,2.8405812403624500,0.0045031401411707000,310,6.945,0.0875,-0.0171,0.041,0.0101,0.006,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0065209857050300,0.011221340217388000,Inf,1,0.5830142514244400,0.5598837064256860,310,6.945,0.0875,-0.0171,0.041,0.0101,0.007,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0302790006717500,0.01101414214432580,Inf,1,2.790308249809000,0.005265788123843090,310,6.945,0.0875,-0.0171,0.041,0.0101,0.008,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.029769110099180,0.011402396867507600,Inf,1,2.6492568019432100,0.008066900844007420,310,6.945,0.0875,-0.0171,0.041,0.0101,0.009000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.026577364935210,0.011025397331157700,Inf,1,2.442311543822870,0.01459354675698960,310,6.945,0.0875,-0.0171,0.041,0.0101,0.01,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.050185641344370,0.011931401283555300,Inf,1,4.310004029004070,1.63251571752778E-05,310,6.945,0.0875,-0.0171,0.041,0.0101,0.011,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0457158409529600,0.013847288126325500,Inf,1,3.3757685982465700,7.36098017080149E-04,310,6.945,0.0875,-0.0171,0.041,0.0101,0.012,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0757623965836500,0.01236860368615590,Inf,1,6.351769131326790,2.12852615370241E-10,310,6.945,0.0875,-0.0171,0.041,0.0101,0.013000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.057119773287630,0.014307861843148200,Inf,1,4.104100633269900,4.05890767687385E-05,310,6.945,0.0875,-0.0171,0.041,0.0101,0.014,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0686307718871600,0.012270243948710400,Inf,1,5.780957768162740,7.42765364554277E-09,310,6.945,0.0875,-0.0171,0.041,0.0101,0.015,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0051940940840500,0.012589479234047400,Inf,1,0.4136438052335220,0.679134987226,311,6.945,0.0875,-0.0171,0.041,0.0101,0,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),0.9984117976929050,0.012051210516062500,Inf,1,-0.13168307395245900,0.8952349739499370,311,6.945,0.0875,-0.0171,0.041,0.0101,0.001,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0063017826608300,0.01107425763065720,Inf,1,0.5708371183924430,0.5681100591964810,311,6.945,0.0875,-0.0171,0.041,0.0101,0.002,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0020661148027900,0.012050590617351800,Inf,1,0.1716304051137060,0.8637281023116420,311,6.945,0.0875,-0.0171,0.041,0.0101,0.003,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0154985418872900,0.012154423092454400,Inf,1,1.284966671149040,0.198803930941018,311,6.945,0.0875,-0.0171,0.041,0.0101,0.004,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.017446991029370,0.013468953076848900,Inf,1,1.306583531905,0.19135419258574900,311,6.945,0.0875,-0.0171,0.041,0.0101,0.005,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),0.9989953695328750,0.010133010581281000,Inf,1,-0.09909450392901450,0.9210632358399540,311,6.945,0.0875,-0.0171,0.041,0.0101,0.006,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0158743535277500,0.011720668130304100,Inf,1,1.3650834092285600,0.17222683589983700,311,6.945,0.0875,-0.0171,0.041,0.0101,0.007,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0499395263151800,0.012230873489312800,Inf,1,4.183368420765190,2.87221357416446E-05,311,6.945,0.0875,-0.0171,0.041,0.0101,0.008,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0275557674305200,0.011684055033920900,Inf,1,2.3906073277037100,0.016820532030260100,311,6.945,0.0875,-0.0171,0.041,0.0101,0.009000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0463070519698900,0.013185204739554000,Inf,1,3.592135851600680,3.27978783643382E-04,311,6.945,0.0875,-0.0171,0.041,0.0101,0.01,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.05076614065566,0.014514374081346600,Inf,1,3.584961522459620,3.37127904720139E-04,311,6.945,0.0875,-0.0171,0.041,0.0101,0.011,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0400171033205700,0.011353063492599800,Inf,1,3.594388067295060,3.25154894188506E-04,311,6.945,0.0875,-0.0171,0.041,0.0101,0.012,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0572224730224500,0.01138841632186140,Inf,1,5.165715115980920,2.39521374600656E-07,311,6.945,0.0875,-0.0171,0.041,0.0101,0.013000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0493939442008200,0.011180112091165900,Inf,1,4.525376985881990,6.02879411212765E-06,311,6.945,0.0875,-0.0171,0.041,0.0101,0.014,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0585438272331600,0.012737651913243200,Inf,1,4.728110119750860,2.26619275483955E-06,311,6.945,0.0875,-0.0171,0.041,0.0101,0.015,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),0.9778077150558730,0.010084897083270600,Inf,1,-2.1759462604222400,0.02955927913924740,312,6.945,0.0875,-0.0171,0.041,0.0101,0,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0025363090637000,0.012818539928333400,Inf,1,0.1981132635924650,0.8429564476611000,312,6.945,0.0875,-0.0171,0.041,0.0101,0.001,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0125965486851500,0.012997574466776700,Inf,1,0.975224584956385,0.3294488696086950,312,6.945,0.0875,-0.0171,0.041,0.0101,0.002,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.019580156698640,0.01112847778050460,Inf,1,1.77657801437074,0.0756376956140833,312,6.945,0.0875,-0.0171,0.041,0.0101,0.003,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0201987987731500,0.012103427368046800,Inf,1,1.6855915357397800,0.09187450063742840,312,6.945,0.0875,-0.0171,0.041,0.0101,0.004,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.016320891122880,0.010935414912856300,Inf,1,1.504593861599600,0.1324285254065090,312,6.945,0.0875,-0.0171,0.041,0.0101,0.005,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0508455620993200,0.012061741389362300,Inf,1,4.320837952129330,1.55437796126417E-05,312,6.945,0.0875,-0.0171,0.041,0.0101,0.006,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0264130833433400,0.012192351437944300,Inf,1,2.1947265634447200,0.028183218063519900,312,6.945,0.0875,-0.0171,0.041,0.0101,0.007,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0522453098320100,0.011433848823510200,Inf,1,4.686692209895140,2.7765605164392E-06,312,6.945,0.0875,-0.0171,0.041,0.0101,0.008,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0434814717523600,0.015185717270182500,Inf,1,2.924681079495820,0.003448094020435010,312,6.945,0.0875,-0.0171,0.041,0.0101,0.009000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.052699702902020,0.013012090860064500,Inf,1,4.1549480789121100,3.25361416910756E-05,312,6.945,0.0875,-0.0171,0.041,0.0101,0.01,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.069345373269750,0.012547032430325900,Inf,1,5.714182749302000,1.10232487774103E-08,312,6.945,0.0875,-0.0171,0.041,0.0101,0.011,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0511022540057300,0.01151188656947200,Inf,1,4.550625440346290,5.34866883517845E-06,312,6.945,0.0875,-0.0171,0.041,0.0101,0.012,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0724568327312100,0.012134453114358800,Inf,1,6.182448462274450,6.31149197735877E-10,312,6.945,0.0875,-0.0171,0.041,0.0101,0.013000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0448855458197600,0.011692632084229100,Inf,1,3.923681092615960,8.72061578294235E-05,312,6.945,0.0875,-0.0171,0.041,0.0101,0.014,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0590913770077900,0.01193108476302720,Inf,1,5.096256199708860,3.46436213322663E-07,312,6.945,0.0875,-0.0171,0.041,0.0101,0.015,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0022978361758500,0.012099518018434700,Inf,1,0.19012940665046300,0.8492077271805880,313,6.945,0.0875,-0.0171,0.041,0.0101,0,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),0.9907599969811790,0.012306597625470900,Inf,1,-0.7473375158886160,0.4548598522116380,313,6.945,0.0875,-0.0171,0.041,0.0101,0.001,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),0.9741335617756370,0.010098227375685800,Inf,1,-2.5280654362841400,0.01146929732528060,313,6.945,0.0875,-0.0171,0.041,0.0101,0.002,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.011023921056620,0.010798672075432000,Inf,1,1.026465322389930,0.3046723012291240,313,6.945,0.0875,-0.0171,0.041,0.0101,0.003,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0141278015601400,0.010922590717949800,Inf,1,1.3025419184308100,0.19273119801170700,313,6.945,0.0875,-0.0171,0.041,0.0101,0.004,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0119074292144100,0.01155395505121520,Inf,1,1.0367049961504600,0.29987336287586900,313,6.945,0.0875,-0.0171,0.041,0.0101,0.005,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0317670322674900,0.013250831866818900,Inf,1,2.4350429559080900,0.014890021932634500,313,6.945,0.0875,-0.0171,0.041,0.0101,0.006,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0185121671174400,0.010904615159994700,Inf,1,1.7132626263558100,0.08666423476397080,313,6.945,0.0875,-0.0171,0.041,0.0101,0.007,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0291766417782900,0.012446166693983900,Inf,1,2.3780976509850100,0.01740221673756780,313,6.945,0.0875,-0.0171,0.041,0.0101,0.008,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0267509104500200,0.01142508858855240,Inf,1,2.3724601612467800,0.0176700685842912,313,6.945,0.0875,-0.0171,0.041,0.0101,0.009000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0239131301526400,0.012357961515988800,Inf,1,1.9579925711273900,0.050230884409425500,313,6.945,0.0875,-0.0171,0.041,0.0101,0.01,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0529187742272500,0.010868014567413600,Inf,1,4.995844160006230,5.85789524065403E-07,313,6.945,0.0875,-0.0171,0.041,0.0101,0.011,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0436433702888300,0.013829569129103700,Inf,1,3.2236855317206300,0.001265522894777510,313,6.945,0.0875,-0.0171,0.041,0.0101,0.012,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0723152099675300,0.012028627215442300,Inf,1,6.224243999861480,4.83883527529173E-10,313,6.945,0.0875,-0.0171,0.041,0.0101,0.013000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0665027730084700,0.01283922638063580,Inf,1,5.348190666398370,8.88378512656344E-08,313,6.945,0.0875,-0.0171,0.041,0.0101,0.014,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0481813759073500,0.011319606941544100,Inf,1,4.357385678789480,1.31625209505831E-05,313,6.945,0.0875,-0.0171,0.041,0.0101,0.015,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0179144942590600,0.011440878095959200,Inf,1,1.5797746412263800,0.11415848498706600,314,6.945,0.0875,-0.0171,0.041,0.0101,0,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),0.9990241279629090,0.011075027417793200,Inf,1,-0.08807163018311720,0.9298197445729480,314,6.945,0.0875,-0.0171,0.041,0.0101,0.001,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),0.9842429413908920,0.011449627027738400,Inf,1,-1.3653072625936800,0.17215649730050400,314,6.945,0.0875,-0.0171,0.041,0.0101,0.002,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0312869211190100,0.011010272415911200,Inf,1,2.8856080670794500,0.003906583169295880,314,6.945,0.0875,-0.0171,0.041,0.0101,0.003,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0206724270146800,0.011971481257272700,Inf,1,1.7445330136642300,0.08106618990627840,314,6.945,0.0875,-0.0171,0.041,0.0101,0.004,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.000081077410850,0.01225837066359530,Inf,1,0.006614312762651990,0.9947225804468090,314,6.945,0.0875,-0.0171,0.041,0.0101,0.005,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0416467566889600,0.012842772242311100,Inf,1,3.3094247569182400,9.34878902696557E-04,314,6.945,0.0875,-0.0171,0.041,0.0101,0.006,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0321771676606100,0.010899645332361800,Inf,1,2.9991239917370500,0.0027075709457416100,314,6.945,0.0875,-0.0171,0.041,0.0101,0.007,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0438068706239100,0.012044967285187300,Inf,1,3.7154670804217500,2.02828672192854E-04,314,6.945,0.0875,-0.0171,0.041,0.0101,0.008,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0379667217202900,0.013534108901295900,Inf,1,2.8578538831210800,0.0042651674421395700,314,6.945,0.0875,-0.0171,0.041,0.0101,0.009000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0500055274977800,0.013010033744605300,Inf,1,3.9381503986489800,8.21121226957431E-05,314,6.945,0.0875,-0.0171,0.041,0.0101,0.01,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0584440153951700,0.012499224201026800,Inf,1,4.809861323997230,1.51035043879016E-06,314,6.945,0.0875,-0.0171,0.041,0.0101,0.011,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.058961636142600,0.010922232937276100,Inf,1,5.554421291417590,2.78532980595088E-08,314,6.945,0.0875,-0.0171,0.041,0.0101,0.012,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0412654788142400,0.01226077260766700,Inf,1,3.434157408503550,5.94398914513553E-04,314,6.945,0.0875,-0.0171,0.041,0.0101,0.013000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0658821407301300,0.01453527017872620,Inf,1,4.678703517332450,2.88694530341294E-06,314,6.945,0.0875,-0.0171,0.041,0.0101,0.014,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0581693732230200,0.011720296644501600,Inf,1,5.104762335676550,3.31210510034144E-07,314,6.945,0.0875,-0.0171,0.041,0.0101,0.015,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),0.9880237748928540,0.01005651537478520,Inf,1,-1.1837323030126000,0.236519047525548,315,6.945,0.0875,-0.0171,0.041,0.0101,0,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.010365553225660,0.011618023915946200,Inf,1,0.8968040506155500,0.3698234861575060,315,6.945,0.0875,-0.0171,0.041,0.0101,0.001,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.011916196383400,0.012138615924992800,Inf,1,0.9875025279425320,0.3233963442485420,315,6.945,0.0875,-0.0171,0.041,0.0101,0.002,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.02069976827586,0.01100637674963350,Inf,1,1.900039025215570,0.05742799847923650,315,6.945,0.0875,-0.0171,0.041,0.0101,0.003,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0157199184407700,0.013006632119851700,Inf,1,1.2180581271073600,0.22320188454863800,315,6.945,0.0875,-0.0171,0.041,0.0101,0.004,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.006827037763370,0.01079094262486430,Inf,1,0.6348184186667350,0.5255468491902540,315,6.945,0.0875,-0.0171,0.041,0.0101,0.005,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0339767555029,0.011890045344713100,Inf,1,2.905584971393530,0.0036656730458563900,315,6.945,0.0875,-0.0171,0.041,0.0101,0.006,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0392806502551500,0.01117501792663890,Inf,1,3.5831913313786100,3.39421799275169E-04,315,6.945,0.0875,-0.0171,0.041,0.0101,0.007,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.029105150934320,0.011406909890367800,Inf,1,2.588313196901510,0.009644724325185580,315,6.945,0.0875,-0.0171,0.041,0.0101,0.008,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0478998133326200,0.012670762659688600,Inf,1,3.8694686618467100,1.09072799411681E-04,315,6.945,0.0875,-0.0171,0.041,0.0101,0.009000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0384952619308000,0.014257953537161800,Inf,1,2.7512276364551500,0.005937236943937470,315,6.945,0.0875,-0.0171,0.041,0.0101,0.01,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0411542615984600,0.011058919375000600,Inf,1,3.796909365068130,1.46511326293033E-04,315,6.945,0.0875,-0.0171,0.041,0.0101,0.011,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.052315212453540,0.011410410018927000,Inf,1,4.702757827675280,2.56670790921002E-06,315,6.945,0.0875,-0.0171,0.041,0.0101,0.012,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0322633868338800,0.01317512738970100,Inf,1,2.4878955786694600,0.012850145662519400,315,6.945,0.0875,-0.0171,0.041,0.0101,0.013000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0638379846030100,0.011182841487702400,Inf,1,5.887019167793220,3.93223124461218E-09,315,6.945,0.0875,-0.0171,0.041,0.0101,0.014,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0530751290954600,0.012615192268847400,Inf,1,4.316964421407010,1.58189644295466E-05,315,6.945,0.0875,-0.0171,0.041,0.0101,0.015,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),0.9940753711993970,0.010140993694808700,Inf,1,-0.5824915784223430,0.5602356124605100,316,6.945,0.0875,-0.0171,0.041,0.0101,0,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0131367266500000,0.015519088970902800,Inf,1,0.852024116153685,0.39420070714026000,316,6.945,0.0875,-0.0171,0.041,0.0101,0.001,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0115378715709400,0.011883538837351500,Inf,1,0.9764918047501370,0.3288208071130090,316,6.945,0.0875,-0.0171,0.041,0.0101,0.002,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0160993344639400,0.01115233898801310,Inf,1,1.4551421769565400,0.14562990484011300,316,6.945,0.0875,-0.0171,0.041,0.0101,0.003,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.007684112494940,0.010221595918142500,Inf,1,0.7546336227247270,0.4504688437731010,316,6.945,0.0875,-0.0171,0.041,0.0101,0.004,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0035041155986100,0.010399608916560800,Inf,1,0.33753652481609900,0.7357124831075300,316,6.945,0.0875,-0.0171,0.041,0.0101,0.005,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0161836088732100,0.013181387478585600,Inf,1,1.2376438155634600,0.2158481603745480,316,6.945,0.0875,-0.0171,0.041,0.0101,0.006,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0501983964925400,0.012985394690365600,Inf,1,3.961201691333970,7.45735070787757E-05,316,6.945,0.0875,-0.0171,0.041,0.0101,0.007,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0244353801251500,0.010804760981589200,Inf,1,2.288946666308290,0.02208245137960840,316,6.945,0.0875,-0.0171,0.041,0.0101,0.008,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0367792335584700,0.014505400900768000,Inf,1,2.5816209475738900,0.009833752709859310,316,6.945,0.0875,-0.0171,0.041,0.0101,0.009000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0617165441627400,0.012413180573884300,Inf,1,5.122216394897700,3.01965063406588E-07,316,6.945,0.0875,-0.0171,0.041,0.0101,0.01,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0643948743058700,0.01182403765880250,Inf,1,5.6178017701882900,1.93402200184088E-08,316,6.945,0.0875,-0.0171,0.041,0.0101,0.011,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0581323699754600,0.013122656007397000,Inf,1,4.556260109294790,5.20724473823785E-06,316,6.945,0.0875,-0.0171,0.041,0.0101,0.012,0.0152,0.00127,0.22
