contrast,ratio,SE,df,null,z.ratio,p.value,rep,beta_0,beta_s,beta_l,beta_t,beta_sl,beta_st,beta_lt,beta_slt,sigma
(switch / repetition incongruent) / (switch / repetition neutral),1.0214445818720200,0.01063630409597420,Inf,1,2.037633608610350,0.04158658832227190,4,6.945,0.0875,-0.0171,0.041,0.0101,0.009000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0434695339628300,0.011439060427280500,Inf,1,3.8815193289030600,1.03805899620724E-04,4,6.945,0.0875,-0.0171,0.041,0.0101,0.01,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0614621346667300,0.012992233876233400,Inf,1,4.87317137472645,1.09820877749776E-06,4,6.945,0.0875,-0.0171,0.041,0.0101,0.011,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0330129863087200,0.010987499576662300,Inf,1,3.0536533992328400,0.002260731078059130,4,6.945,0.0875,-0.0171,0.041,0.0101,0.012,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0505990308088800,0.011421380952161600,Inf,1,4.54044051750019,5.61368150327995E-06,4,6.945,0.0875,-0.0171,0.041,0.0101,0.013000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0527248714199100,0.011265311086286600,Inf,1,4.8015561160360100,1.57437375531451E-06,4,6.945,0.0875,-0.0171,0.041,0.0101,0.014,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0653561552704200,0.013122008793917800,Inf,1,5.139975577590700,2.74774180584603E-07,4,6.945,0.0875,-0.0171,0.041,0.0101,0.015,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0004063492730000,0.011335637729786900,Inf,1,0.03585434109435090,0.9713985029660540,5,6.945,0.0875,-0.0171,0.041,0.0101,0,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0051455801608400,0.011749110651353100,Inf,1,0.43907970255586700,0.660603785810765,5,6.945,0.0875,-0.0171,0.041,0.0101,0.001,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),0.9902285029913530,0.010949601629268300,Inf,1,-0.8880322769866060,0.37452338943491700,5,6.945,0.0875,-0.0171,0.041,0.0101,0.002,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0060922770862800,0.011302379622110400,Inf,1,0.5406646775600830,0.5887387291427830,5,6.945,0.0875,-0.0171,0.041,0.0101,0.003,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0089328640640000,0.011037780774221300,Inf,1,0.8129028836769500,0.4162737410658370,5,6.945,0.0875,-0.0171,0.041,0.0101,0.004,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0387865273137700,0.01294954235659720,Inf,1,3.052554511686150,0.0022690251481326200,5,6.945,0.0875,-0.0171,0.041,0.0101,0.005,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0128570522283300,0.013942961206573900,Inf,1,0.9280203804924660,0.35339699786877000,5,6.945,0.0875,-0.0171,0.041,0.0101,0.006,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0279966460437000,0.010615808019762400,Inf,1,2.6738374588317800,0.0074988787340186300,5,6.945,0.0875,-0.0171,0.041,0.0101,0.007,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0311945364734200,0.0117399884009956,Inf,1,2.6981376112463300,0.006972861002248340,5,6.945,0.0875,-0.0171,0.041,0.0101,0.008,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0453623425965200,0.011901259517075600,Inf,1,3.8967304086612700,9.75000477535557E-05,5,6.945,0.0875,-0.0171,0.041,0.0101,0.009000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.038170147191730,0.012388173336774600,Inf,1,3.1392466359537100,0.0016938281916011000,5,6.945,0.0875,-0.0171,0.041,0.0101,0.01,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.041828393386710,0.0128114088062102,Inf,1,3.332283973268920,8.61363145346777E-04,5,6.945,0.0875,-0.0171,0.041,0.0101,0.011,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.049903003676510,0.010716263288924100,Inf,1,4.771061207593630,1.83257837237394E-06,5,6.945,0.0875,-0.0171,0.041,0.0101,0.012,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.071448592343780,0.014653508355623800,Inf,1,5.0460500205287200,4.51037371640302E-07,5,6.945,0.0875,-0.0171,0.041,0.0101,0.013000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0600197281946500,0.014514786954166600,Inf,1,4.2567569696417700,2.07413609525059E-05,5,6.945,0.0875,-0.0171,0.041,0.0101,0.014,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0555883282768500,0.011759304461166700,Inf,1,4.85619716148172,1.19661559603036E-06,5,6.945,0.0875,-0.0171,0.041,0.0101,0.015,0.0152,0.00127,0.22
